基金代码,基金名称,一级分类,二级分类,基金公司,基金规模(亿),风险等级,管理费(%),YTD(%),近1年(%),近3年(%),近5年(%),1年最大回撤(%),1年夏普比率,持有人数,总管理规模(亿),评级,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
017724,银华心质混合C,混合型,混合型-偏股,银华基金,3.59,中高,1.20%（每年）,72.3,177.14,,,-20.48,2.6,2,140.73亿(18只基金),orange,46.29,42.84,53.31,52.61,50.3,50.3,0.0,15.12
017732,鹏华核心优势混合C,混合型,混合型-偏股,鹏华基金,1.79,中高,1.20%（每年）,85.16,170.47,199.65,,-14.91,3.29,0,5.19亿(3只基金),green,78.36,85.08,83.9,71.08,62.81,59.98,1.7,21.49
017735,融通明锐混合A,混合型,混合型-偏股,融通基金,4.11,中高,1.20%（每年）,8.86,54.25,59.59,,-26.34,1.35,1,13.74亿(6只基金),green,70.38,59.94,70.56,60.71,57.73,57.73,0.0,18.84
017738,融通慧心混合C,混合型,混合型-偏股,融通基金,0.8,中高,1.20%（每年）,92.55,204.18,213.47,,-13.79,3.02,0,7.64亿(4只基金),green,85.7,88.88,86.13,65.78,62.31,62.31,0.0,20.13
017739,大成2020生命周期混合C,混合型,混合型-偏债,大成基金,9.05,中,0.80%（每年）,3.82,8.43,16.83,,-2.27,1.9,0,253.30亿(22只基金),green,71.06,70.16,54.22,50.32,51.88,51.88,0.0,17.02
017741,鹏华睿见混合C,混合型,混合型-偏股,鹏华基金,0.19,中高,1.20%（每年）,-3.61,8.78,,,-14.41,0.48,0,39.85亿(8只基金),blue,56.24,40.83,44.3,44.04,45.36,45.36,0.0,13.81
018589,农银信息传媒股票C,股票型,股票型,农银汇理基金,2.08,中高,1.20%（每年）,4.81,19.75,,,-15.9,0.94,0,8.13亿(7只基金),orange,31.84,29.37,44.64,51.07,47.46,47.46,0.0,14.38
018591,博时中证银行ETF联接C,指数型,指数型-股票,博时基金,6.3,中高,0.50%（每年）,-8.76,-9.97,,,-16.46,-0.84,0,1048.87亿(25只基金),orange,39.44,60.74,57.99,65.25,65.07,65.07,0.0,18.66
018633,财通中证500指数增强A,指数型,指数型-股票,财通基金,0.71,中高,1.00%（每年）,16.25,47.6,,,-10.93,1.99,0,5.47亿(10只基金),green,74.49,63.04,62.33,58.48,56.57,56.57,0.0,15.05
018646,易方达中证家电龙头ETF联接发起式A,指数型,指数型-股票,易方达基金,0.52,中高,0.50%（每年）,-11.85,5.92,,,-14.26,0.31,0,35.91亿(11只基金),orange,23.17,37.31,40.18,51.75,53.76,53.76,0.0,14.14
018650,光大国企改革股票C,股票型,股票型,光大保德信基金,1.77,中高,1.20%（每年）,18.18,46.86,,,-14.58,1.81,0,10.26亿(11只基金),blue,61.69,56.33,58.64,53.68,51.53,51.53,0.0,15.42
